4-Aminobutansäure	 gamma-aminobutyric acid (GABA) 
Bundesstaat	 A state which is a relatively autonomous part of a larger state; a state which is part of a federation.
Bundesstraße	 federal highway
Bundesverkehrsminister	 federal minister of transportation
Bungalow	 bungalow ''(in German mainly used for bungalows with a flat roof)''
Bunker	 bunker (hardened shelter)
Bunkeröl	 bunker oil, bunker fuel
Bunsenbrenner	 Bunsen burner
Bunsenbrennerflamme	 Bunsen burner flame
Buntbarsch	 cichlid
Buntstift	 colored pencil
Buntwaschmittel	 laundry detergent without bleach, especially for colored textiles
Bure	 Boer
Burenhäutl	 see Burenwurst
Burenwurst	 The most popular kind of sausage sold at food stalls in w:Vienna|Vienna.
Burg	 castle, fortification
Burgundisch	 Burgundian (the old Burgundian language)
Burka	 burka (garment, worn by Muslim women, that covers the entire body)
Burka	 burka (cloak, especially of felt or karakul, worn by men of the Caucasus region)
Burke	 a burka, a coat or veil worn by peoples in the Caucasus region
Burrito	 burrito
Bursche	 boy, young man
Bursche	 student
Bus	 a bus (public transport)
Bus	 a bus (on a computer mainboard)
Busbahnhof	 central bus station
Busch	 bush, shrub
Buschbohne	 bush bean, dwarf bean
Buschwindröschen	 wood anemone, Anemone nemorosa
Busen	 bosom
Busfahrer	 bus driver
Busfahrerin	 a female bus driver
Bushaltestelle	 bus stop
Bussard	 buzzard (genus Buteo)
Butan	 butane (the organic compound)
Butler	 A butler, chief male servant, majordomo
Butt	 flatfish
Butter	 butter
Butterblume	 buttercup
Butterbrot	 butterbrot, slice of bread topped with butter, sandwich
Butterfass	 a butter-churn, vessel for churning butter
Butterkäse	 Mild, full-fat cheese
Buttermesser	 butter knife
Buttermilch	 buttermilk (traditional buttermilk)
Buttersäure	 butyric acid
Butzemann	 bogeyman
Buße	 penance
Buße	 fine
Bäcker	 baker
Bäckerdutzend	 baker's dozen
Bäckerei	 bakery
Bäckerin	 female baker
Bäckersdutzend	 A baker's dozen, 13.
Bäderkunde	 balneology
Bälle	 balls
Bär	 bear (animal)
Bär	 bear (male with bear-like characteristics)
Bären	 bears
Bärenfell	 the fur of a bear, bear skin
Bärlauch	 ramsons
Bärtierchen	 A tardigrade
Bäuerchen	 a burp (normally used for children only)
Bäuerin	 a female peasant or farmer
Böller	 firecracker, firework
Börek	 börek, burek, boereg
Börse	 stock market, stock exchange, bourse
Börse	 wallet, purse (short form of Geldbörse)
Börsencrash	 stock market crash
Börsengang	 initial public offering, IPO
Börsenkrach	 stock market crash
Böse	 evil, malice, wickedness
Böse	 anger
Bösewicht	 villain
Bücher	 book (usually in plural: records of the accounts of a business)
Bücherei	 library
Bücherregal	 bookcase (furniture displaying books)
Bücherwurm	 bookworm (both senses), Ptilinus pectinicornis
Büchse	 box, can
Büchse	 rifle
Büchse der Pandora	 Pandora's box
Bückling	 red herring (smoke-cured herring)
Büffel	 buffalo
Büffel	 coarse cloth
Büffel	 lout, clod
Bügel	 bow
Bügel	 handle, hanger
Bügel	 stirrup
Bügel	 iron (for ironing)
Bügelbrett	 ironing board
Bühne	 a stage
Bühne	 a scaffolding
Bühnenautor	 playwright
Bündel	 bundle
Bündnis	 alliance, confederation
Bürde	 burden
Bürge	 surety (person)
Bürger	 Legally recognized inhabitant of a country or a city; citizen, burgher
Bürgerkrieg	 civil war
Bürgermeister	 mayor (leader of a city)
Bürgermeisterin	 female mayor (leader of a city)
Bürgerrecht	 citizenship
Bürgerrechtler	 civil rights activist
Bürgerschaft	 citizenry
Bürgersteig	 sidewalk
Büro	 office
Bürogebäude	 office building
Büroklammer	 paper clip
Bürokrat	 bureaucrat
Bürokratie	 bureaucracy
Bürostuhl	 office chair (desk chair used in an office)
Bürste	 brush
Bürzel	 (ornithology) rump, hindquarter of a bird
Büschel	 bunch
Büschel	 tuft
Büschelohrmaki	 hairy-eared dwarf lemur
Büste	 bust (sculptural portrayal of a person's head and shoulders)
Büstenhalter	 bra
C-Falter	 comma butterfly
CD	 English|CD (compact disc)
CD-Spieler	 CD player
CDU	 Christlich Demokratische Union Deutschlands - the Union of Christian Democrats (a German political party)
CVJM	 YMCA
Cabrio	 cabriolet (an automobile with a retractable top)
Cadmium	 cadmium
Caesium	 caesium
Café	 café, coffee shop
Calayan-Ralle	 Calayan rail
Calcium	 calcium
Californium	 californium
Calimocho	 calimocho
Calvinismus	 Calvinism
Camping	 camping (form of tourism)
Campus	 campus (of an educational institution, etc.)
Cannabis	 cannabis.
Canyon	 canyon
Cappuccino	 cappuccino
Caprinsäure	 decanoic acid, capric acid
Capronsäure	 hexanoic acid, caproic acid
Caprylsäure	 caprylic acid
Capybara	 capybara
Carbonyl	 carbonyl
Cardy	 one cultivated form of Cynara cardunculus
Carotin	 carotene
Carotinoid	 carotenoid
Cartoon	 cartoon (comic strip)
Cashewnuss	 cashew nut
Cashflow	 cash flow
Catcher	 catcher (in baseball)
Catcher	 wrestler (professional wrestler)
Catcherin	 A female professional wrestler
Cayenne-Ralle	 grey-necked wood rail
Cayennepfeffer	 cayenne pepper
CeBIT	 Centrum für Büro und Informationstechnik (Center for Office and Information Technology). The world's largest tradeshow showcasing digital IT and telecommunications solutions for business and home.  Held annually in Hanover, Germany.
Cedille	cedilla
Cembalo	 harpsichord
Cent	 cent, the smaller unit of the euro
Cent	 cent (in other currencies)
Cer	 cerium
Cermet	 cermet
Ces	 C flat
Chalkogenidglas	 chalcogenide glass
Champagner	 champagne (sparkling wine made in Champagne)
Champignon	 mushroom of the Agaricus genus
Chamäleon	 chameleon
Chance	 chance
Chancengleichheit	 equal opportunity
Chaos	 chaos
Chaot	 chaotic person
Charakteristik	 characteristic (distinguishing feature)
Charakteristikum	 feature, characteristic (of a person or thing)
Charakterlosigkeit	 characterlessness
Charge	 load
Charge	 batch
Charisma	 charisma
Charme	 charm
Charmeur	 charmer
Charta	 charter
Chassid	 Hassid
Chat	 A chat, exchange of text or voice messages in real time, notably by Internet
Chatroom	 chatroom (computer site online where visitors can exchange messages)
Chauvinismus	 chauvinism
Chauvinist	 chauvinist
Checkliste	 checklist
Chef	 boss
Chefetage	 executive floor (mostly used figuratively as a synonym for bosses)
Chefin	 female boss
Chefredakteur	 editor in chief (highest ranking editor)
Chemie	 chemistry
Chemieanlage	 chemical plant (factory)
Chemikalie	 chemical, chemical substance
Chemiker	 chemist (person working in chemistry)
Chemikerin	 chemist (female person working in chemistry)
Cherusker	 Cherusci
Chi	 chi (greek letter)
Chiasmus	 chiasmus
Chicorée	 Belgian endive
Chiffre	 cipher
Chilene	 A Chilean, member or descendant of the people of Chile (South American country)
Chilenin	 A female Chilean
Chimäre	 chimera (a mythical monster)
Chinakohl	 Chinese cabbage
Chinese	 male person from China
Chinesin	 female person from China
Chinin	 quinine
Chipsatz	 chipset
Chirurg	 surgeon (doctor who performs surgery)
Chirurgin	 (female) surgeon (doctor who performs surgery)
Chlor	 chlorine
Chlorbleiche	 chlorine bleach
Chlorgas	 chlorine gas
Chlorierung	 chlorination
Chlorkalk	 chlorinated lime
Chlorknallgas	 An mixture of chlorine and hydrogen that reacts explosively when exposed to bright light
Chlorophyll	 chlorophyll (green pigment)
Chloroplast	 chloroplast
Chlorung	 chlorination
Chlorwasser	 chlorine water
Chlorwasserstofflösung	 hydrogen chloride solution; hydrochloric acid
Chlorwasserstoffmolekül	 hydrogen chloride molecule
Cholera	 cholera
Cholesterin	 cholesterol
Chor	 choir
Chor	 chorus
Choreografie	 choreography
Chose	 thing, affair, matter
Christ	 a Christian (male)
Christbaum	 Christmas tree
Christbaumkugel	 A bauble, shiny spherical decoration, commonly used for Christmas decorations, especially Christmas trees
Christentum	 Christendom, Christianity
Christi Himmelfahrt	 Ascension Day
Christianisierung	 Christianization
Christin	 a Christian (female) (male=Christ)
Christmette	 (christmas) matins
Christstollen	 stollen (a traditional German cake eaten at Christmas time)
Chrom	 chromium
Chromatierung	 chromatizing
Chromatografie	 chromatography
Chromatographie	 chromatography
Chromgelb	 chrome yellow
Chromgrün	 chrome green
Chromophor	 chromophore
Chromosom	 chromosome (structure in the cell nucleus)
Chromosphäre	 chromosphere
Chromstahl	 chrome steel
Chronik	 chronicle
Chronist	 chronicler
Chronologie	 chronology
Chrysantheme	 chrysanthemum
Chutney	 chutney
Chuzpe	 chutzpah
Cineast	 cineast
Claim	 claim
Claque	 claque
Claqueur	 claqueur
Cleaver	 cleaver
Clou	 highlight
Clown	 clown
Clownfisch	 clownfish
Club	 club (association of members)
Club	 club (nightclub)
Cluster	 cluster (group of galaxies or stars)
Coffein	 caffeine
Cola	 cola (beverage made with caramel, and carbonated water)
Collier	 necklace
Columbo	 Sherlock; used to refer to someone who expresses the obvious while not being aware of its obviousness
Comeback	 comeback
Comer	 of, or relating to Como
Computer	 computer
Computerindustrie	 computer industry
Computerlinguistik	 computational linguistics (an interdisciplinary field dealing with the statistical and/or rule-based modeling of natural language)
Container	 a big container made of metal
Containerschiff	 container ship
Contenance	 countenance, composure
Copernicium	 copernicium (chemical element)
Cornflakes	 corn flakes
Costa-Ricaner	 Costa Rican (person from Costa Rica)
Costa-Ricanerin	 Costa Rican (female person from Costa Rica)
Couch	 couch
Coulomb	 coulomb
Coulomb-Konstante	 Coulomb's constant
Countdown	 A countdown, count(ing) backward to the (starting) time of some event
County	 county
Courage	 courage
Courtage	 commission, broker's fee
Cousin	 cousin
Cousine	 Female cousin.
Coventrieren	 The act of coventrate|coventrating.
Coventrierung	 The act of coventrate|coventrating.
Cover	 cover (front of a CD, DVD or magazine)
Cowboy	 cowboy
Creme	 cream
Crescendo	 crescendo
Crux	 trouble
Crux	 grief
Crystal	 crystal meth
Crème fraîche	 crème fraîcheEnglish|crème fraîche
Crêpe	 crêpe
Curie-Konstante	 Curie constant
Curium	 curium
Curry	 curry (sauce or relish flavored with curry powder)
Curry	 curry powder
Currywurst	 currywurst, a German national dish consisting of hot pork sausage (German: Wurst) cut into slices and seasoned with curry sauce
Cuvier-Ralle	 white-throated rail
Cyan	 cyan (colour)
Cyanobakterium	 cyanobacterium
Cyanogen	 cyanogen
Cyanogenbromid	 cyanogen bromide
Cytosin	 cytosine (a base which appears in DNA)
Cäsium	 cesium
DAU	 dümmsten|dümmster annehmen|anzunehmender User (“dumbest assumable user” ~ luser)
DAU	 Digital-Analog-Umsetzer (digital-to-analog converter (DAC))
DKP	 Deutsche Kommunistische Partei (German Communist Party)
DKP	 Deutsche Konservative Partei (German Conservative Party)
DT	 Abbreviation of Dachterrasse
DWB	 Deutsches Wörterbuch|'''D'''eutsches '''W'''örterbuch der '''B'''rüder Grimm, the largest dictionary of the German language.
Dach	 roof
Dachboden	 loft, attic
Dachdecker	 tiler, roofer, slater, thatcher (profession)
Dachdeckerin	 tiler, roofer, slater, thatcher (profession)
Dachdeckung	 roofing
Dacheindeckung	 roofing (roof cladding)
Dachentwässerung	 roof drainage
Dachfenster	 dormer, skylight
Dachgaube	 dormer
Dachgeschoss	 attic story, loft, top floor
Dachhase	 cat
Dachrinne	 rain gutter
Dachs	 badger
Dachschaden	 roof damage
Dachshund	 basset
Dachshund	 dachshund
Dachterrasse	 roof terrace
Dachverband	 umbrella organization / umbrella organisation
Dachziegel	 roof tile
Dackel	 dachshund, sausage dog
Dadaismus	 dadaism
Dahlie	 dahlia
Daktyloskopie	 dactyloscopy
Damastgewebe	 damask
Dame	 lady
Damen	 ''plural of Dame'', ladies
Damhirsch	 fallow deer (ruminant mammal)
Damm	 dam
Damoklesschwert	 sword of Damocles (thing or situation which causes a prolonged state of impending doom or misfortune)
Dampf	 steam
Dampfdruck	 vapor pressure
Dampferzeuger	 steam generator
Dampflokomotive	 steam engine locomotive
Dampfmaschine	 steam engine
Dampforgel	 calliope ''(musical organ)''
Dampfreformierung	 steam reforming
Dampfschiff	 steamboat, steamship
Dampfturbine	 steam turbine
Dampfwalze	 steamroller
Dank	 thanks
Darbietung	 performance
Darlegung	 explanation, analysis
Darlehen	 loan
Darm	 intestine, gut
Darmausgang	 anus
Darmflora	 gut flora, intestinal flora
Darmstadtium	 darmstadtium
Darmzelle	 enterocyte
Darstellung	 exhibition
Darstellung	 depiction, presentation
Darstellung	 description, statement
Darstellung	 representation
Darstellung	 performance, production ''(theatrical)''
Darstellung	 recital
Darstellungsverfahren	 method of presentation
Darwinismus	 Darwinism
Darwinistin	 a female Darwinist
Dasein	 being, existence
Dasselfliege	 botfly
Datei	 (computing) file
Dateiendung	 file extension
Dateipfad	 (computing) file path
Datenblatt	 datasheet
Datenschutz	 data privacy
Datensicherung	 backup (the act of making a backup copy)
Datensicherung	 backup (the result of making a backup copy)
Datierung	 dating (age determination), (date stamping)
Datsche	dacha
Dattel	 date (the fruit/palm tree)
Datum	 date, datum
Dauer	 duration
Dauerlutscher	 lollipop, "all-day sucker"
Dauermagnet	 permanent magnet
Dauerwelle	 perm
Daumen	 thumb
Daumen drücken	 to wish good luck; to cross one's fingers; (literally) to press one's thumbs
Daumennagel	 thumbnail
Daumenregel	 rule of thumb
Daune	 downEtymology_3|down (soft, immature feathers)
Deaktivierung	 deactivation
Dealer	 A dealer (somebody who peddles illicit drugs, especially to teenagers), drug dealer
Dealerin	 A female drug dealer
Debakel	 debacle
Debatte	 debate
Debüt	 debut
Deck	 deck (of a ship or boat)
Decke	 cover, blanket, quilt
Decke	 ceiling, roof
Decke	 skin
Decke	 pretext
Decke	 decks
Deckenfluter	 uplight, torchiere
Deckenzapfen	 stalactite
Deckung	 cover
Deckung	 coverage
Defekt	 defect
Defensive	 defensive (means, attitude or position of defense)
Defilee	 parade; march past
Defizit	 deficit
Defloration	 defloration (the act of deflowering)
Defätismus	 defeatism
Defätist	 defeatist
Degen	 hero, warrior, soldier
Degen	 any dueling sword; smallsword, dress sword
Degen	 the épée in modern sport fencing
Deich	 dike, dam along the coast to prevent flooding
Deichsel	 pole
Deichsel	 shaft
Dein Wunsch ist mir Befehl	 your wish is my command
Deismen	 Plural form of Deismus.
Deismus	 deism
Deist	 deist
Deisten	 Accusative singular of '''Deist'''.
Deisten	 Dative singular of '''Deist'''.
Deisten	 Genitive singular of '''Deist'''.
Deisten	 Accusative plural of '''Deist'''.
Deisten	 Dative plural of '''Deist'''.
Deisten	 Genitive plural of '''Deist'''.
Deistin	 a female deist
Dekade	 decade (10 years)
Dekadenz	 decadence
Dekan	 dean (senior official in college or university)
Deklaration	 declaration (written or oral indication of a fact, opinion, or belief)
Dekohärenz	 (quantum) decoherence
Dekolleté	 cleavage (separation between breasts)
Dekor	 decor / décor
Dekor	 decoration
Dekoration	 decoration
Dekorierer	 Somebody who decorates
Dekorverchromung	 decorative chromium plating
Dekret	 decree
Dekubitus	 bedsore (lesion caused by pressure)
Delegation	 delegation
Delinquent	 delinquent (one who breaks the law)
Delirium	 delirium (delirium)
Delle	 (colloquial) dent
Delokalisierung	 delocalization
Delphin	 dolphin
Delta	 delta (greek letter)
Demagoge	 demagogue
Demagogie	 demagogy
Demagogin	 (female) demagogue
Demenz	 dementia
Demografie	 demography (study of human populations)
Demokrat	 democrat
Demokratie	 democracy
Demokratin	 a female democrat
Demokratisierung	 democratization
Demonstrant	 demonstrator, protester
Demonstration	 demonstration, rally
Demonstrationskraftwerk	 demonstration power plant
Demonstrationsverbot	 ban on demonstrate|demonstrating, prohibition of protesting
Demonstrativpronomen	 a demonstrative pronoun (a pronoun which replaces a noun), such as ''dieser'' in the sentence '''''dieser''' ist rot'' ('''''this one''' is red'').
Demonstrativpronomen	 demonstrative pronouns (''one plural form of'' Demonstrativpronomen)
Demontage	 dismantling
Demoskop	 opinion pollster who is male
Demoskopin	 opinion pollster who is female
Demut	 humility
Demütigung	 humiliation
Dendrit	 dendrite
Dendrologie	 dendrology
Denker	 thinker
Denkfabrik	 think tank
Denkmal	 monument, memorial
Denkschrift	 memorandum
Dentalfluorose	 dental fluorosis
Denunziant	 informer (Someone who denounces or informs against a person.)
Denunziantentum	 culture of denunciation
Denunziantin	 A female informer. (Someone who denounces or informs against a person.)
Denunziation	 denouncing, informing against
Depolarisation	 depolarization
Deponie	 landfill, dumpsite
Depositenbank	 commercial bank
Depot	 depot, repository
Depp	 dork (quirky, silly and/or stupid, socially inept person, or one who is out of touch with contemporary trends)
Deregulierung	 deregulation
Derivat	 derivative (financial instrument whose value depends on the valuation of an underlying instrument)
Dermatologe	 dermatologist
Dermatologie	 dermatology
Dermatologin	 a female dermatologist
Derwisch	 dervish
Desaster	 disaster
Desertation	 desertion
Deserteur	 deserter
Desertion	 desertion
Design	 design (creative profession or art)
Desillusion	 disillusion
Desinfektion	 disinfection
Desinfektion	 fumigation
Desinfektionsmittel	 disinfectant
Desinfizierung	 disinfection
Desktop-Computer	 desktop computer
Desorption	 desorption
Desoxyribonukleinsäure	 deoxyribonucleic acid (DNA)
Despot	 despot
Despotismus	 despotism
Dessert	 dessert
Dessertlöffel	 dessert spoon
Dessous	 lingerie
Destination	 destination
Detail	 detail
Detektei	 detective agency
Detektion	 detection
Detektionsgrenze	 detection limit
Detektiv	 detective, private investigator
Detektor	 detector
Determinante	 determinant (in mathematical sense)
Determination	 determination
Determinismus	 determinism
Detonationsgeschwindigkeit	 detonation velocity
Deuterid	 deuteride
Deuterium	 deuterium
Deutsch	 the German language
Deutsche	 A female German.
Deutsche Dogge	 Great Dane
Deutscher	 A (male) German, a German man or boy.
Deutung	 interpretation, analysis
Devise	 motto
Dewargefäß	 Dewar vessel, Dewar flask
Dextrose	 dextrose (naturally-occurring form of glucose)
Dezember	 December
Dezenz	 discreetness
Dezenz	 unobtrusiveness
Dezibel	 decibel (a common measure of sound intensity)
Dezillion	 A w:Long and short scales|long scale decillion, 10<sup>60</sup>; a w:Long and short scales|short scale novemdecillion.
Dezimeter	 decimeter
Diademsifaka	 Diademed Sifaka
Diagnose	 diagnosis
Diagnostik	 diagnostics
Diagonale	 diagonal (something arranged diagonally or obliquely)
Diagramm	 diagram
Diagramm	 chart
Diakon	 ''(Church)'' deacon
Dialekt	 dialect
Dialog	 dialogue
Diamant	 diamond (''uncountable'', allotrope of carbon)
Diamant	 diamond (gemstone)
Diamantstempelzelle	 diamond anvil cell
Diarrhoe	 diarrhea
Diarrhö	 diarrhoea/diarrhea
Diarrhöe	 diarrhoea
Diastole	 diastole
Diatome	 diatom
Dichotomie	 dichotomy
Dichromatlösung	 dichromate solution
Dichtband	 sealing tape
Dichte	 density
Dichteanomalie	 density anomaly (the anomaly of water having a maximum density  just above its melting point)
Dichter	 poet
Dichterin	 female poet
Dichteschwankung	 density fluctuation
Dichtigkeit	 tightness
Dichtigkeit	 density
Dichtstoff	 sealant
Dichtung	 poetry
Dichtung	 something designed to prevent liquids or gasses from leaking through a joint; a seal, a gasket
Dichtungsmaterial	 sealant
Dick und Doof	 Laurel and Hardy
Dicke	 thickness
Dickhornschaf	 bighorn sheep
Dickicht	 thicket (copse)
Dickschnabelpinguin	 Fiordland penguin, Fiordland crested penguin
Dieb	 thief
Diebin	 female thief.
Diebstahl	 theft
Diele	 plank
Diener	 servant
Dienerin	 female servant
Dienst	 service
Dienst	 work, duty
Dienstag	 Tuesday
Dienstgrad	 rank (a level in an organization such as the military)
Dienstleister	 service provider
Dienstleistung	 serviceEnglish|service, provision of services
Dienstreise	 A business trip or other journey in an official or similar non-private capacity
Dienststellenleitung	 department leadership; the leadership of a department or agency
Dietrich	 picklock
Differenzierung	 differentiation
Diffusion	 diffusion (physics: the intermingling of the molecules of a fluid due to random thermal agitation)
Diffusionsgeschwindigkeit	 diffusion rate
Difluorid	 difluoride
Digamma	 digamma
Digestif	 digestif
Digitalisat	 digital copy (digitalized version)
Digitalkamera	 digital camera.
Digitaluhr	 digital clock
Dikasterium	 dicastery
Diktator	 dictator
Diktatur	 dictatorship
Diktiergerät	 dictation machine (sound recording device)
Dildo	 dildo
Dilemma	 dilemma (''a situation with two (or more) alternatives to choose from, and where all alternatives are unsatisfactory or undesirable'')
Dilettant	 amateur, dabbler
Dilettantismus	 dilettantism
Dill	 dill
Dimension	 dimension
Diminutiv	 diminutive (word form expressing smallness)
Ding	 thing
Ding	 Thing
Dingenskirchen	 so-and-so, thingamajig (placeholder name)
Dingo	 dingo (Canis lupus dingo)
Dingwort	 noun
Dinkel	 speltEtymology_2|spelt, Triticum spelta
Dinosaurier	 dinosaur
Dinucleotid	 dinucleotide
Diode	 diode
Diorama	 diorama
Dipinto	 dipinto
Diplodocus	 diplodocus
Diplom	 diploma (higher education only, e.g., Master’s degree).
Diplomat	 diplomat
Diplomatie	 diplomacy
Diplomingenieurin	 An engineer's degree given to females in Austria till 2008.
Diproton	 diproton
Dipsomane	 dipsomaniac
Direktor	 principal (administrator of a school)
Direktorin	 A female director (principal, head, headmistress)
Dirigent	 conductor, maestro, choirmaster
Dirndl	 dirndl
Dirne	 prostitute
Disauerstoff	 dioxygen
Disjunktion	 disjunction (logic)
Diskette	 diskette
Diskokugel	 disco ball
Diskont	 discount
Diskontinuität	 discontinuity
Diskordier	 Discordian (male follower of Discordianism)
Diskordierin	 Discordian (female follower of Discordianism)
Diskothek	 discotheque
Diskrepanz	 discrepancy (inconsistency)
Diskriminierung	 discrimination  
Diskurs	 discourse (verbal exchange or conversation)
Diskursanalyse	discourse analysis
Diskus	 discus (round plate-like object for throwing)
Diskussion	 discussion
Diskussionsseite	 discussion page
Diskuswerfen	 discus throw
Diskuswurf	 discus throw
Dispersion	 dispersion, dispersal
Disput	 dispute
Dissens	 dissent
Dissertation	 dissertation (for a doctoral degree)
Dissident	 dissident
Dissoziation	 dissociation
Distanz	 distance
Distel	 thistle
Distribution	 distribution
Disziplin	 discipline
Diuretikum	 diuretic
Diva	 A diva (vocal star)
Diversifizierung	 diversification
Diversität	 diversity
Divis	 hyphen
Division	 division (arithmetic: process of dividing a number by another)
Division	 division (military formation)
Diärese	 diaeresis (diaeresis)
Diät	 diet
Diözese	 diocese
Dodekaeder	 dodecahedron
Dodo	 dodo|Dodo, ''Raphus cucullatus''.
Doge	 doge
Dogge	 boarhound, mastiff
Dogmatiker	 dogmatist
Dogmatismus	 dogmatism
Dohle	 jackdaw
Doktorarbeit	 A doctoral dissertation, a graduate's final thesis to obtain the academic degree of doctor
Doktorin	 (female) doctor, (woman) doctor
Doktrin	 doctrine
Dokument	 document
Dokumentation	 documentation
Dokumentation	 documentary, a mainly informative product(ion), as opposed to fiction or 'day to day' event reporting
Dolch	 dagger
Dollar	 dollar
Dolmetscher	 interpreter (as opposed to Übersetzer (translator))
Dolmetscherin	 interpreter (woman who interprets speech in another language)
Dom	 cathedral dome
Domestik	 domestic (house servant; a maid)
Domestikation	 domestication
Domestizierung	 domestication
Domina	 dominatrix
Dominanz	 dominance
Dominicaner	 Dominican
Dominicanerin	 female Dominican
Dominikaner	 Dominican (male person from the Dominican Republic)
Dominikanerin	 Dominican (female person from the Dominican Republic)
Dominoeffekt	 domino effect
Domizil	 domicile
Dompfaff	 bullfinch
Domäne	 domain
Don	 don (honorific title, especially in Spain and Italy)
Donaldismus	 Donaldism
Donatismus	 donatism
Donaulachs	 Danube salmon, huchen (Hucho hucho)
Donaumetropole	 metropolis on the Danube
Donaustadt	 city on the Danube
Donner	 thunder
Donner und Doria	 (''dated'') by Jove!
Donnerschlag	 thunderclap, clap of thunder
Donnerwetter	 thunderstorm
Donnerwetter	 gosh!
Donquichotterie	 quixotry (a wild, visionary idea)
Doppel	 duplicate
Doppelbett	 double bed
Doppeldecker	 double-decker bus
Doppelgänger	 doppelganger, doppelgänger
Doppelhaushälfte	 semi-detached house, semi
Doppellinie	 double line (road marking)
Doppelmoral	 double standard
Doppelmoral	 hypocrisy
Doppelpunkt	 colon
Doppelschicht	 bilayer
Doppelstern	 double star
Doppelverabredung	 double date
Doppelzimmer	 double room
Doppler-Effekt	 Doppler effect (change in frequency or wavelength)
Dopplereffekt	 Doppler effect (change in frequency or wavelength)
Dorf	 village
Dorfbewohner	 villager
Dorn	 thorn
Dorngesträuch	 thorny shrubbery
Dornhai	 spiny dogfish, spurdog, mud shark, or piked dogfish (Squalus acanthias)
Dornröschen	 A small, thorny rose
Dorsch	 cod
Dose	 container made from metal or plastic; box
Dose	 air tight metal containment used to conserve food; tin; can
Dosierung	 dosage
Dosierung	 metering
Dotierelement	 doping element (added to a semiconductor)
Dotieren	 doping
Dotierung	 endowment
Dotierung	 remuneration
Dotierung	 doping (of a semiconductor)
Dotter	 yolk
Download	 a download
Downsyndrom	 Down syndrome
Doxologie	 doxology
Doyen	 most senior representative of a certain group, usually in diplomacy, academia or performing arts, doyen
Drache	 dragon
Drachen	 kite
Drachen	 hang glider
Drachen	 vixen, harpy
Drachen	 ''inflected or plural form of:'' Drache
Drachenfrucht	 dragon fruit
Drachme	 drachma
Dragee	 dragéeEnglish|dragée, sugar-coated pill
Dragoner	 a dragoon
Draht	 wire
Drahtsieb	 wire sieve, wire screen
Drama	 drama
Dramaturgie	 dramaturgy
Drang	 pressure; stress
Dreck	 dirt
Dreck	 filth
Dreckloch	 hellhole
Dreh	 spin, twist
Dreh	 knack
Drehbuch	 script (text of the dialogue and action for a drama)
Drehleier	 hurdy-gurdy (stringed instrument)
Drehmaschine	 lathe (machine tool used to shape a piece of material)
Drehmoment	 torque
Drehorgel	 barrel organ (pipe instrument with air controlled pins in a revolving barrel)
Drehrohrofen	 rotary kiln
Drehtür	 revolving door
Drehung	 rotation, turn
Drehzahl	 rotational speed, speed of rotation, (automotive) RPM, revolutions per minute
Drei	 three (digit/figure 3)
Dreieck	 triangle
Dreiecksnatter	 milk snake (Lampropeltis triangulum)
Dreiecksverhältnis	 love triangle
Dreier	 threesome
Dreikäsehoch	 tot, titch
Dreikönigsfest	 Epiphany
Dreirad	 tricycle
Dreitagebart	 stubble grown after three days.
Dreizack	 trident
Dresseur	 animal trainer
Drilling	A triplet (one of three persons born to the same mother at the same time).
Drink	 drink (alcoholic)
Dritte Golfkrieg	The  2003 Invasion of Iraq
Drittel	 a third
Droge	 drug
Drogen	 drugs
Drogenabhängiger	 drug addict (person with a chemical or psychological dependency on drugs)
Drogenbeauftragter	 commissioner/representative for drugs
Drogenberater	 drug advisor
Drogenkonsument	 drug user
Drogenkrieg	 ''The 'war on drugs'.''
Drogenkrieg	 drug war
Drogenmissbrauch	 drug abuse
Drogensüchtiger	 drug addict (person with a chemical or psychological dependency on drugs)
Drogentest	 drug test
Drogerie	 drugstore, chemist
Drohne	 drone
Droide	 droid, short form of Androide "android".
Dromedar	 dromedary
Dronte	 dodo (Raphus cucullatus)
Droschke	 droshky
Drossel	 thrush
Drossel	 throttle
Drosselung	 limiting, curbing, throttling, restriction
Druckanstieg	 pressure rise
Druckbehälter	 pressure vessel
Drucker	 printer
Drucker	 person who print|prints
Druckerpresse	 printing press
Druckgasflasche	 pressurised gas cylinder
Druckgießverfahren	 diecasting
Druckguss	 diecasting
Druckluft	 compressed air
Drucktank	 pressure tank
Druckversion	 printed version
Druckwalze	 print roll, press cylinder, shaft
Druckwasserreaktor	 pressurized water reactor
Druide	 druid
Drückeberger	 (male) shirk, quitter
Drückebergerin	 (female) shirk
Dschungel	 jungle
Dualismus	 dualism
Dublette	 duplicate
Dubnium	 dubnium
Dudelsack	 bagpipes
Duell	 duel (combat between two persons)
Duett	 duet
Duft	 perfume
Duftrauchbrenner	 censer
Duftstoff	 perfume, scent, fragrance (aromatic substance)
Dukat	 ducat (gold coin)
Dukatenfalter	 scarce copper, Lycaena virgaureae (butterfly)
Duktilität	 ductility
Dumme-Jungen-Streich	 silly prank
Dummheit	 stupidity
Dummkopf	 a fool, an idiot
Dung	 dung
Dunkel	 dark
Dunkelheit	 darkness
Dunkelmantel-Ameisenwürger	 chestnut-backed antshrike
Dunkelmantel-Ameisenwürger	lined antshrike
Dunkelziffer	 dark figure
Dunst	 haze
Dunstabzugshaube	 extractor hood, range hood, cooker hood
Duo	 duo, pair
