A positivo	 A positive (blood type)
brenha	 complication
brenha	 confusion
bretão	 Breton
breu	 tar, pitch
breve	 brief, short
brevemente	 briefly
brevidade	 brevity
briga	 fight (physical confrontation)
brigar	 To brawl, fight
brigar	 To quarrel
brilhante	 shine|Shining brightly; brilliant.
brilhante	 Highly intelligent; brainy; ingenious; brilliant.
brilhantemente	 brightly, brilliantly
brilhantismo	 brilliance (all senses)
brilho	 shine (brightness from a source of light)
brincadeira	 joke, prank
brincadeira	 banter
brincadeira	 frolic
brincar	 play
brinco	 earring (piece of jewelry)
brindar	 To toast (drink the health of)
brinde	 toast (salutation)
brinde	 freebie (giveaway)
brinquedo	 toy
brio	 courage
brio	 pride
brio	 dignity
britagem	 crushing (especially for rock/mineral processing)
britânico	 British
britânico	 Briton
briófita	 bryophyte
broca	 drill
broca	 bit, drill bit
broca	 borer, auger
brocar	 To drill, bore
brochar	 To bind (a book)
brochar	 To yoke (an ox etc)
broche	 brooch
broche	 clasp
bromo	 bromine.
bronze	 skin tan
bronzina	 bush (mechanics, especially one made of brass)
broquel	 buckler (a small type of shield)
brotar	 to bud or sprout
broto	 sprout (little plant)
bruma	 mist (water or other liquid finely suspended in air)
bruna	 dark-haired woman
bruno	 (dark) brown
bruscamente	 suddenly, brusquely
bruscamente	 abruptly
brusco	 brusque, abrupt (broken off or very steep)
brusco	 sudden, unexpected
brusco	 harsh, rough to the touch
brusco	 harsh, cruel
brutalidade	 brutality
bruto	 ignorant, stupid
bruto	 uncouth, crude
bruto	 raw
bruxa	 witch
bruxaria	 witchcraft
bruxo	 wizard
bucal	 buccal
bucal	 oral
bucha	 bush
bucha	 sleeve
bucha	 wad
bucha	 tampion
bucho	 maw
bucho	 tripe
buchuda	 pregnant
buda	 Buddha (especially a statue or figurine)
bugio	 monkey (especially the howler monkey)
bulbo	 bulb (rounded solid object)
bulbo	 plant bulb
bule	 teapot
bulha	 noise, clamour
bulha	 disorder, riot
bulhar	 To be noisy, disorderly
bulhar	 To fight
bulir	 To fidget
bulir	 To tease
bunda	 ass, butt
buquê	 bouquet (bunch of flowers)
buquê	 bouquet (wine aroma)
burburinho	 chatter (confusion of voices)
burca	 burka (a garment that covers the whole body)
burguesia	 bourgeoisie
burguês	 bourgeois
burguês	 philistine
burguês	 bourgeois
burguês	 burgher
burguês	 philistine
burlesco	 comic, farcical
burlesco	 burlesque, farce
burocrata	 bureaucrat.
burocrático	 bureaucratic
burrice	 stupidity, foolishness
burrice	 dullness
burro	 donkey
burro	 stupid
busca	 searching
busca	 quest
busca	 research
busca	 rummage
buscar	 To search for
buscar	 To fetch, to pick up
báculo	 crosier of a bishop.
bário	 barium (chemical element)
básico	 basic
bélico	 relating to war
béquer	 beaker (laboratory apparatus)
bétula	 birch
bê	 bee (name of the letter B, b)
bêbada	 a female who is frequently under the influence of alcohol; a drunk
bêbado	 drunk; under the influence of alcohol
bêbado	 one who is frequently under the influence of alcohol; a drunk
bêbedo	 drunk, intoxicated
bênção	 benediction, blessing
bênção	 grace
bíblia	 bible
bíblico	 biblical
bílis	 bile
bílis	 gall
bóhrio	 bohrium
bósnio	 Bosnian person
búfalo	 buffalo
bússola	 compass (navigational compass)
búzio	 conch; hence trumpet
cabal	 complete
cabal	 rigorous
cabal	 exact
cabal	 satisfactory
cabalmente	 fully, thoroughly
cabana	 cabin, hut, shack
cabaça	 gourd
cabaça	 calabash
cabaça	 bong (for smoking marijuana)
cabaço	 gourd (fruit)
cabeceira	 headboard (of a bed)
cabeceira	(''especially in plural'') source of a river
cabedal	 leather
cabedal	 capital (money)
cabeleireiro	 hairdresser (professional for haircutting or hairstyling)
cabeleireiro	 beauty salon
cabelo	 hair
cabina	 cabin
cabinda	 Kongo (language)
cabine	 cabin
cablagem	 cabling, wiring
caboclo	 copper-coloured
cabra	 goat
cabível	 appropriate
cabível	 admissible
cacau	 cocoa
cachalote	 cachalot, sperm whale
cachecol	 scarf (long garment worn around the neck)
cacheiro	 cunning, crafty, sly
cacheiro	 boar (male pig)
cachimbo	 pipe (smoking tool)
cachoeira	 waterfall
cachopa	 girl
cachorra	 female dog.
cachorrinho	 puppy (or small wolf etc)
cachorrinho	 dog paddle
cachorro	 puppy
cachorro-quente	 hot dog
cacimba	 well (hole dug to obtain water)
cacimba	 drizzle
cacimba	 fog
cacique	 chieftain; an Indian chief, in a tribe.
cacique	 A very powerful person.
cacoete	 tic (repetitive habit)
cacoete	 grimace
cacofonia	 cacophony (mix of discordant sounds; dissonance)
cacotenia	 cacotechny
cacunda	 back
cacunda	 hump
cacófato	 cacophony
cadarço	 shoelace
cadastro	 cadastre
cadastro	 census
cadastro	 criminal record
cadeado	 padlock (type of lock)
cadeado	 locked with a padlock
cadeia	 chain (a series of interconnected rings or links)
cadeia	 prison (a place of long-term confinement for those convicted of serious crimes)
cadeira	 chair
cadeira de rodas	 wheelchair
cadeira eléctrica	 electric chair
cadela	 female dog.
caderno	 notebook (book in which notes or memoranda are written)
cadinho	 crucible, melting pot
caducar	 To lapse, expire
caducar	 To prescribe
caducidade	 obsolescence
caducidade	 old age
caducidade	 senility
caducidade	 expiry
caducidade	 prescription
cadáver	 cadaver, corpse
cadê	 where is?
cafezal	 coffee plantation
cafeína	 caffeine (alkaloid found naturally in tea and coffee plants)
cafona	 tacky (dowdy, shabbily dressed)
cafre	 Kaffir
café	 coffee
caibro	 rafter (or similar beam)
caieira	 limekiln
caipirinha	 Traditional Brazilian drink prepared with cachaça, lime juice, sugar and ice.
caipirinha	 Diminutive of caipira
caipora	 jinx (a person who brings bad luck to others)
cair	 to fall
cais	 quay, wharf, pier
caixa	 box
caixa	 snare drum Brazilian percussion instrument used in a samba http://en.wikipedia.org/wiki/Bateria bateria  (percussion/drum section)
caixa	 cashier (in supermarket)
caixeiro	 clerk
caixeiro	 shop assistant
caixão	 coffin
caiçara	 deadwood
caiçara	 fence (made of dead branches etc)
caiçara	 hillbilly
caiçara	 tramp
caju	 cashew (tree)
caju	 cashew (pseudofruit)
caju	 cashew nut
cajueiro	 cashew (tree)
cal	 lime (calcium oxide)
calado	 silent, quiet
calado	 discreet.
calafate	 caulker
calafetar	 To caulk
calafrio	 shiver (the act or result of shivering)
calamitoso	 Involving calamity; disastrous; calamitous.
calcadouro	 threshing floor
calcanhar de Aquiles	 Achilles heel (vulnerability in an otherwise strong situation)
calcar	 To trample
calcar	 To press (grapes etc)
calcar	 To crush
calcar	 To humiliate
calcedônia	 chalcedony (form of fine-grained quartz)
calcificação	 calcification
calcinado	 calcined
calcinar	 To calcine
calcinação	 calcination
calcolítico	 chalcolithic
calculadora	 calculator (electronic device that performs mathematical calculations)
calculadora	 feminine form of calculador
calcário	 limestone (attributive)
calcário	 calcareous, chalky
caldeirão	 cauldron
caldo	 broth, stock
caldo	 juice
caleidoscópio	 A kaleidoscope
calendário	 calendar (system by which time is divided)
calendário	 calendar (means to determine the date)
calendário gregoriano	 Gregorian calendar
calhamaço	 tome (large book)
calhar	 To fit
calhar	 To agree
calhar	 To happen
calhau	 stone, boulder
calibre	 gauge (mathematics, physics)
californiano	 Californian
californiano	 Californian
califórnio	 californium
caligrafia	 handwriting
caligrafia	 calligraphy, penmanship
caligráfico	 calligraphic
calma	 calm
calma	 tranquility
calmamente	 In context of being free from anger or anxiety; calmly; peacefully.
calmo	 calm
calmo	 serene
calopsita	 cockatiel (a small, rather atypical cockatoo with a distinctive pointed yellow crest)
calor	 an instance of high temperature
caloria	 calorie
calça	 trousers, pants 
calça	 ring (on a mushroom)
calçada	 pavement (footpath)
calçadeira	 shoehorn
calçado	 Wearing shoes.
calçado	 footgear, shoes.
calçamento	 paving (process, or paved floor)
calçar	 shoe (to equip with protection)
calção	 (''especially in plural'') shorts
cama	 bed
camada	 layer
camada	 stratum
camal	 aventail
camaleão	 chameleon (reptile)
camarada	 comrade
camareiro	 chamberlain
camarinha	 bedroom (or similar small room)
camarão	 shrimp (decapod crustacean)
cambada	 bunch
cambada	 gang, pack, herd
cambalacho	 scam, swindle
cambaleante	 tottering, staggering
cambiante	 changing
cambiante	 indecisive
cambiante	 iridescent (colour)
camboa	 small, artificial lake near the sea, that traps fish
camelo	 camel
camicase	 kamikaze.
caminhada	 walk (trip made by walking)
caminhante	 walking
caminhante	 walker, hiker
caminhante	 passer-by
caminhar	 walk (to travel a distance by walking)
caminho	 path
caminhão	 truck (vehicle designed for carrying cargo)
camioneta	 pick-up truck
camisa	 shirt (article of clothing)
camisinha	 condom
camisolão	 camisole
camisolão	 nightshirt
camião	 lorry / truck
camomila	 camomile (the plant or its flower)
camonismo	A word or phrase used by w:Luís de Camões|Luís de Camões.
camonismo	A study of the works and life of Camões.
campainha	 bell, handbell, doorbell
campanha	 open country; a large expanse of land without trees
campanário	 belfry, bell tower, campanile
campanário	 steeple
campeonato	 championship
campeão	 champion
campina	 meadow, grassland
campina	 prairie
campo	 The country; the countryside
campo	 field, specially one where crops are grown or sports are played
camponês	 peasant (member of the agriculture low class)
cana-de-açúcar	 sugar cane (species of grass whose sap is a source of sugar)
canada	 a blow with a cane
canada	 a former liquid measure of four quartilhos
canadense	 Canadian
canadense	 Canadian
canafístula	 golden shower (''Cassia fistula'')
canal	 ditch
canalha	 scoundrel, villain, blackguard
canalha	 kids
canalhice	 villainy
canalizar	 To canalize
canalizar	 To channel, lead, direct, guide
canalização	 plumbing (system), piping
canalização	 canalization
cananeu	 Canaanite
canastra	 a large basket
canastra	 a type of armadillo
canastra	 the card-game canasta
canavial	 sugarcane plantation
cancelamento	 cancellation
cancelar	 call off (to cancel)
cancerígeno	 carcinogenic
candeia	 candle, or simple lamp having a wick dipped in oil
candelabro	 candelabrum, branched candlestick
candelabro	 chandelier
candidato	 candidate
candidato	 applicant
candura	 innocence
candura	 purity
caneca	 cup, mug
canela	 cinnamon (spice)
canela	 shin
caneta	 pen (writing tool)
caneta esferográfica	 ballpoint pen
cangambá	 skunk
cangueira	 callosity
canguru	 kangaroo
canibal	 cannibal
canivete suíço	 Swiss Army knife, penknife
canivete	 pocketknife
caniço	 reed, cane
caniço	 fishing rod
canja	 chicken soup (with rice)
cano	 tube, pipe
cano	 channel
canoa	 canoe (small long and narrow boat)
canoagem	 canoeing
canoinha	 small canoe
canonizar	 To canonize
canonização	 canonization
canoro	 singing; that sings
cansado	 In need of rest or sleep; tired.
cansado	 Feeling irritation; fed up; irritated; annoyed; frustrated; disappointed.
cansar	 To tire, weary
cansativo	 Causing fatigue or boredom; tiring; tiresome.
cansaço	 fatigue, tiredness, weariness
cansaço	 weakness
cantador	 singing
cantador	 troubadour
cantarolar	 To hum
canteiro central	 median, central reservation (the area separating two lanes of opposite-direction traffic)
canteiro	 stonemason
canteiro	 median, central reservation
canteiro	 gantry
canto	 chant
canto	 a bird’s song
canto	 a remote location
canto	 an undetermined or unknown location
cantor	 singer
cantora	 singer (female)
canudo	 straw (for drinking)
canário	 Canarian (an inhabitant of the Canary islands)
canário	 canary (bird)
canário	 Canarian
cançoneta	 canzonet
canção	 song
canídeo	 canid
caos	 chaos
capa	 cloak, cape
capa	 cover
capacete	 helmet (protective head covering)
capacidade	 capacity (the ability to hold, receive or absorb)
capadócio	 Cappadocian
capadócio	 Cappadocian
capatazia	 A handling charge, such as on items passing through a port.
capaz	 able, capable
capela	 chapel
capelão	 chaplain, padre
capicua	 palindrome
capinzal	 grassland
capitais	 plural of capital
capitalismo	 capitalism (socio-economic system based on private property rights)
capitalizar	 To capitalize
capitalização	 capitalization
capitanear	 To command, captain, govern
capitania	 captaincy
capitoso	 heady, intoxicating
capitular	 To capitulate, surrender
capitulação	 capitulation, surrender
capitulação	 rendition, rendering
capitã	 female captain
capivara	 capybara
capoeira	 a martial art developed in Brazil
capoeira	 henhouse.
capoeiragem	 a disorderly lifestyle
captar	 To capture
captar	 To catch
captar	 To intercept
captação	 catchment
captação	 captation
captação	 collection
capturar	 To capture, catch
capturar	 To arrest, apprehend
capturar	 To seize
capucho	 hood (headwear)
capucho	 Capuchin
capuz	 hood (headwear)
capítulo	 chapter (section in a book)
capítulo	 chapter (administrative division of an organization)
caqui	 persimmon (fruit).
caquizeiro	 persimmon (tree).
cara	 face
cara	 heads (side of coin)
cara de pau	 poker face (impassive facial expression preventing determining whether one's actions in the game are the result of a quality hand or of bluffing)
carabina	 carbine (short firearm)
carabina	 rifle
carabina de ar	 air rifle
caracal	 caracalEnglish|caracal (Caracal caracal)
caracol	 snail (any animal of the class ''Gastropoda'' having a shell)
caracol	 a lock of curly hair
caractere	 character (basic element in a text string)
caracterizar	 to characterize
caracterização	 characterization (act or process of characterizing)
característica	 characteristic (all senses)
característica	 feature
caramelo	 candy made of caramel
caranguejo	 crab
carapuça	 a flexible, conical cap
caratê	 karate (martial art)
caravana	 caravan (a convoy or procession of travelers, their vehicles and cargo, and any pack animals)
caravela	 caravel
caraças	 An expression of irony, admiration or impatience
carbonilo	 carbonyl
carburação	 carburization
carcaju	 wolverine.
carcaça	 carcass
carcereiro	 jailer / gaoler; warder
carcinogenicidade	 carcinogenicity
carcinogênico	 carcinogenic
cardeal	 cardinal (of fundamental importance)
cardeal	 (Catholicism) cardinal
cardeal	 cardinal (bird)
cardioprotector	 cardioprotective
cardioscópio	 cardioscope (medical apparatus)
cardume	 school (a group of fish)
cardápio	 a printed list of dishes offered by a restaurant
cardíaco	 cardiac
careca	 Having no hair; bald.
carecer	 To lack, to be lacking (in)
careiro	 expensive (of a shop etc rather than the individual goods sold)
careta	 grimace, smirk
carga	 charge (load or burden)
carga	 cargo
carga	 charge of a weapon
carga	 electrical charge
cargo	 post, occupation, profession
cargo	 office; responsibility
caricatura	 caricature (pictorial representation of someone for comic effect)
caridade	 a charitable act
caridoso	 charitable
caridoso	 bountiful
caril	 curry (sauce or relish flavored with curry powder)
carimbo	 (rubber) stamp
carimbo	 postmark
carinho	 fondness, affection
carinho	 endearment
carinho	 caress
carinhosamente	 affectionately
carinhosamente	 gently
carinhoso	 affectionate
carinhoso	 gentle
carioca	 An inhabitant of the city of Rio de Janeiro, Brazil
carismático	 charismatic (of, related to, or having charisma)
carmelita	 Carmelite
carnaval	 carnival (festive occasion marked by parades)
carne	 meat
carneiro	 ram (male sheep)
carnificina	 massacre, carnage, butchery.
carniça	 carrion.
carnívoro	 carnivorous
caro	 Greatly valued; dear; loved; lovable.
caro	 Of high price; expensive.
caroba	 bignonia
carolíngio	 Carolingian
carona	 hitchhiker
carpete	 carpet (a fabric used as a floor covering)
carpo	 wrist
carreador	 leader
carreador	 driver
carrear	 To lead
carrear	 To drive
carregado	 laden, loaded
carregador	 carrier (person)
carregador	 charger (electric)
carregamento	 load, shipment, cargo, freight
carregar	 carry
carregar	 load (put wares into a vehicle)
carregar	 load (load a software into the primary memory)
carregar	 charge (load equipment with material required for its use)
carreira	 a path or trail, particularly one which had to be opened
carreira	 the trail(s) left by a moving vehicle
carreira	 career (one's profession)
carreira	 a cocaine line
carreiro	 pathway
carreiro	 shortcut
carreto	 carriage
carreto	 transportation
carreto	 freight
carrinha	 van (small commercial vehicle)
carrinho	 cart, trolley
carro	 car; automobile
carro	 any “vehicle” which is drawn, such as an elevator, a cable car, or a train wagon
carro-bomba	 car bomb (automobile made a bomb)
carroceiro	 wagoner
carruagem	 carriage, coach
carruagem	 wagon
carruagem	 vehicle
carta	 Written message; letter.
carta	 chart.
carta	 Any of the 52 rectangular pieces of card used to play games; playing card.
carta de condução	 driving licence
cartaginense	 Carthaginian
cartaginês	 Carthaginian (person from Carthage)
cartaginês	 Carthaginian
cartaz	 poster
carteira	 wallet
carteiro	 postman / mailman
cartilagem	 cartilage
cartilha	  primer, spelling book
cartomante	 A fortuneteller
cartucho	 (''firearms'') cartridge
cartune	 cartoon
cartão de crédito	 credit card (plastic card, with a magnetic strip)
cartão-postal	 postcard.
carvão	 coal, charcoal
carão	 reproof, censure, severe reprimand
carão	 airs (snobbish attitude)
carão	 frown, scowl
carão	 core of an apple etc
carência	 lack, shortage
carência	 scarcity
carícia	 caress
carícia	 cuddle
casa decimal	 decimal place
casaco	 coat
casal	 couple, married couple
casal	 pair
casal	 village, hamlet
casal	 farmhouse
casamento	 wedding (marriage ceremony)
casar	 to marry, wed someone to (unite two others in wedlock)
casario	 terrace (of houses)
casca	 bark
casca	 shell
casca	 peel
casca	 rind
casca	 husk
cascata	 cascade
cascata	 waterfall
cascavel	 rattlesnake
casco	 skull, cranium
casebre	 hovel
casebre	 shack
caseiro	 homemade, home-grown
casinha	 cottage
casinha	 small house
casinha	 privy
caso	 case (all senses)
caso	 occurrence, event, circumstance
caso	 an adulterous relationship, an affair
caso oblíquo	 oblique case (any noun case except the nominative)
casota	 doghouse (dog's house)
caspa	 dandruff
cassete	 cassette
castanha	 chestnut
castanha de caju	 cashew, cashew nut
castanho	 brown
castanho	 brown
castanho	 chestnut wood.
castelhano	 Castilian, main language of Spain
castelhano	 inhabitant of Castilla, in Spain
castelhano	 relative to or from the region of Castilla, in Spain
castigar	 To punish
castigar	 To castigate
castiçal	 candlestick, candleholder
casto	 chaste (abstaining from sexual activity)
castor	 beaver
castrar	 To castrate
castração	 castration
castro	 fort (of Roman or prehistoric origin)
casula	 chasuble
casulo	 cocoon, the silky case that protects the chrysalis of insects.
catalisador	 catalyzing
catalisador	 catalyst
catalisador	 catalyzer
catalisação	 catalysis, catalyzation
catalizar	 To catalyze
catalão	 Catalan
catalão	 Catalan (person from Catalonia)
catalão	 Catalan (language)
catamita	 catamite
catapulta	 catapult
catar	 to look for
catar	 to gather
catariano	 Qatari
catariano	 Qatari person
catarse	 catharsis
catecismo	 catechism
catedral	 cathedral
categoria	 category
categorizar	 To categorize
catequese	 catechesis (religious instruction)
catequizar	 To catechize
cateter	 catheter (small tube inserted into a body cavity)
cateto	 leg (of a triangle).
cativar	 to captivate, to charm, to seduce, to attract
cativar	 to dominate
cativar	 to capture.
cativeiro	 captivity, bondage
cativeiro	 prison
cativo	 captive, prisoner
cativo	 slave
catião	 (''Portugal'') cation (a positively charged ion)
catorze	 fourteen.
catorze	 fourteen.
catálise	 catalysis
catástrofe	 catastrophe, disaster
catódico	 cathodic
católico	 Catholic
católico	 Catholic
caucasiano	 caucasian
caucasiano	 caucasian
caucásico	 Caucasian (all senses)
caucásico	 Caucasian (all senses)
cauda	 tail.
caudaloso	 abundant
caudilho	 caudillo
causa	 cause, reason
causa	 suit, lawsuit
causa	 goal, aim
causador	 causing, originating
causador	 causer, originator
causalidade	 causality
causticante	 burning, searing, caustic
cautelosamente	 warily, carefully, gingerly
cauteloso	 cautious
cauteloso	 wary
caução	 guarantee, pledge
cavador	 digger
cavalaria	 cavalry (military service that fights with riding horses)
cavaleiro	 knight (warrior, especially of the Middle Ages)
cavaleiro	 horseman
cavalete	 easel (Upright frame for displaying or supporting something);
cavalete	 rack (Graphic arts): A support for a movable cylinder; toothed bar;
cavalete	 rack: An instrument of torture;
cavalete	 bridge(Music): A support for a wind instrument.
cavalete	 trestle (Engineering): A bridge support.
cavalgada	 cavalcade
cavalheirismo	 chivalry
cavalheiro	 gentleman
cavalheiro	 cavalier
cavalinho-de-deus	 praying mantis.
cavalo com alças	 pommel horse
cavalo-marinho	 sea horse.
cavar	 To dig, excavate, burrow, scoop
cave	 cellar
caveira	 skull
caverna	 cave
cavouco	 a manmade pit (hole in the ground)
caça	 hunt (a hunting expedition)
caça	 fighter (military aircraft)
caçador	 hunter
caçar	 to hunt (to chase down prey)
caçarola	 pan (flat vessel used for frying)
caçarola	 saucepan
caído	 fallen.
caótico	 Filled with chaos; chaotic.
caótico	 Extremely disorganized; chaotic; shambolic.
cear	 To have supper
cear	 To dine
cebola	 onion (a monocotyledonous plant of genus Allium allied to garlic, used as vegetable and spice.)
cebuano	 Cebuano
cedilha	 cedilla.
cedo	 At a time before expected; sooner than usual; early.
cedro	 cedar (tree).
cedro	 cedar (wood).
cedê	 CD (compact disk)
cefaleia	 headache
cegamente	 blindly
cegonha	 stork (large wading bird)
cegueira	 blindness
ceia	 supper, evening meal
cela	 cell (room in a prison for containing inmates)
cela	 cell (of a monastery)
cela	 a very small room
celebrar	 To celebrate (all senses)
celebração	 celebration (all senses)
celebridade	 fame, celebrity
celeiro	 barn
celeiro	 granary
celular	 Of or relating to cells; cellular.
celulose	 cellulose (the polysaccharide cellulose)
cem	 one hundred.
cem	 one hundred.
cem por cento	 To a complete extent; one hundred percent; completely; utterly; fully.
cemitério	 cemetery, graveyard
cena	 scene
cena	 stage
cenoura	 carrot
censura	 censure
censura	 censorship
censurar	 to censure
censurar	 to censor
centauro	 centaur (mythical half horse, half man)
centeio	 rye (grass or its grains as food)
centelha	 sparkle.
centena	 hundred
centena	(''in plural'') lots, many
centenário	 centennial
centenário	 centennial
cento	 hundred
centopeia	 centipede (A segmented arthropod of class Chilopoda)
central	 centre
central	 headquarters
centralizar	 To centralize
centrar	 To centre
centrar	 To centralize
centrifugar	 To centrifuge
centrifugação	 centrifugation
centro	 centre (middle of anything)
centro	 center (point on a line midway between the ends)
centro	 downtown
centurião	 centurion.
centésimo	 one hundredth
centímetro	 centimetre
centúria	 century (army).
centúria	 century (political division).
cenário	 scenario
cenário	 scenery
cenário	 set (scenery for a film or play)
cepticismo	 skepticism
cera	 wax (oily, water-resistant substance)
cerca	 fence (barrier)
cercanias	 neighbourhood
cercanias	 environs, surroundings
cercanias	 proximity
cercanias	 suburb(s)
cercar	 To besiege
cercar	 To surround
cercilho	 a particular form of tonsure worn by some monks
cerco	 siege
cerda	 bristle
cerebrino	 cerebral
cerebrino	 imaginative
cerebrino	 fantastic
cerebrovasculare	 cerebrovascular
cereja	 cherry (fruit).
cerejeira	 cherry tree
cerimonial	 ceremonial
cerimônia	 ceremony (ritual with religious significance)
ceroulas	 long johns
cerrar	 To close, shut
cerrar	 To seal
certamente	 certainly
certidão	 certificate
certificar	 To certify, attest
certificação	 certification
cerval	 Iberian lynx (Lynx pardinus)
cerveja	 beer
cervo	 deer
cerâmica	 ceramics, pottery
cerâmico	 ceramic, pottery
cesariana	 Caesarean section
cessação	 cessation, surcease
cessação	 cease
cessionário	 assignee
cesta	 basket
cesto	 basket (container)
ceticismo	 skepticism (general disposition to doubt)
cetona	 ketone (organic chemicals with the >CO functional group)
cetro	 scepter (ornamental staff)
cevada	 barley (strong cereal of the genus ''Hordeum'', or its grains)
cevar	 To fatten
cevar	 To feed
chacal	 jackal
chacina	 slaughter
chacinar	 To slaughter
chacinar	 To massacre
chacoalhar	 to shake up and down
chafariz	 fountain (artificial water feature)
chafurdar	 to wallow (in mud); to paddle (walk in shallow water)
chaga	 sore (injured, infected, inflamed, or diseased patch of skin)
chaleira	 kettle (vessel for boiling a liquid)
chalé	 cottage, chalet
chama	 flame
chama	 Third-person singular present indicative of chamar.
chamado	 calling
chamalote	 camlet (fabric)
chamamento	 call, summons
chamar	 to call, summons
chamar	 to invoke
chamar	 to name (give a name to)
chamariz	 decoy, lure
chamativo	 flashy, showy
chamativo	 calling, summoning
chaminé	 chimney
champanhe	 champagne
champanhe	 sparkling wine
chantagem	 blackmail
chapeleiro	 hatter (person who makes, sells, or repairs hats)
chapéu	 hat (head covering)
charlatão	 charlatan; imposter
charro	 joint, a cigarette containing cannabis.
charuto	 cigar
chatear	 to peeve; synonyms: to upset, pester, annoy, bore
chatice	 nuisance
chatice	 bore
chato	 flat
chato	 boring
chato	 annoying
chau	 goodbye
chave	 key
chave	 curly bracket
chave de fenda	 screwdriver (tool)
chave inglesa	 spanner (hand tool for adjusting nuts and bolts)
chaveiro	 keyring
chaveiro	 locksmith
checar	 to check (to inspect, examine)
checheno	 Chechen (person from Chechnya)
checheno	 Chechen
chefatura	 chiefdom, leadership
chefe	 chief, head, head man, boss
chefe	 chieftain
chefia	 chiefdom, leadership, government
chegada	 arrival (act of arriving or something that has arrived)
chegada	 finish line
chegado	 near
chegado	 close, intimate
chegado	 arrived.
cheia	 flood
cheio	 full
cheirar	 to smell
cheiroso	 Having a good, pleasant smell; sweet-smelling; fragrant.
chifre	 horn, antler
chileno	 Chilean
chileno	 Chilean
chimarrão	 maté (hot drink made from the Ilex paraguarensis plant)
chimia	 (Dialectal, South Brazil) jam (bread spread)
chimia	 A specific type of jam made in South Brazil with the juice and pulp of fruits (as opposed to geléia, made only with the juice).
chimpanzé	 chimpanzee.
chinela	 slipper
chinelo	 slipper (low shoe usually worn indoors)
chinês	 Chinese
chinês	 Chinese person
chiqueiro	 sty, pigsty
chita	 cheetah (Acinonyx jubatus)
chocalho	 shaker (instrument)
chocalho	 rattle (a baby's toy)
chocalho	 rattle (of a rattlesnake)
chocar	 to bump, strike, collide with
chocar	 to shock, offend
chofer	 chauffeur, driver
choque cultural	 culture shock (state of anxious confusion)
chorar	 to cry; to weep
choro	 crying
choro	 cry
choro	 wailing
choroso	 tearful, weeping
choroso	 mournful
choupana	 shack, hut, hovel
chover a cântaros	 to rain cats and dogs (to rain very heavily)
chover a potes	 rain cats and dogs (to rain very heavily)
chover	 To rain
chumbo	 lead metal
chumbo	 shot, pellet
chupa-chupa	 unidentified flying objects associated with the w:Colares UFO flap|Colares UFO wave
chupeta	 pacifier (for a baby)
chute	 kick
chuva	 rain
chuveiro	 shower (device for bathing)
chuvisco	 drizzle
chuvoso	 rainy
chuço	 pike (weapon)
chuço	 any spear-like improvised weapon made in a jail
chácara	 farm, farmstead
chávena	 cup (especially a teacup)
chão	 ground
chão	 floor
cianobactéria	 cyanobacterium
ciborgue	 cyborg
cicatriz	 scar
cicatrizar	 to cicatrize, to heal
cicatrização	 healing
cicatrização	 cicatrization
ciclismo	 cycling
ciclo	 a series of repeating events
ciclo	 cycle (complete rotation)
ciclone	 cyclone (rotating system of winds)
ciclope	 cyclops (giant of mythology)
cidade	 city
cidade-estado	 city state
cidadão	 citizen
cidra	 citron (tree)
cientificamente	 scientifically
cientista	 scientist
científico	 scientific
cifrar	 To cipher, encode, scramble
cigana	 Gypsy woman
cigana	 Gypsy
cigano	 Gypsy
cigano	 Gypsy
cigarro	 cigarette (cigarette)
cilada	 trap, ambush
cilada	 snare, noose
cilada	 pitfall
cilindro	 roller
cilindro de oxigênio	 oxygen cylinder
cima	 top
cimitarra	 scimitar (sword)
cinco	 five
cinco	 five.
cindível	 fissile
cinema	 cinema, film theatre
cinescópio	 cathode-ray tube (originally kinescope)
cingir	 To encircle, girdle
cingir	 To connect, unite
cingir	 To limit, restrict
cinofobia	 cynophobia.
cinquenta	 fifty.
cinquenta	 fifty.
cintilador	 scintillator
cintilar	 to scintillate; to sparkle
cintilação	 scintillation
cintilação	 sparkle
cintilância	 sheen
cinto	 belt (band worn around the waist)
cintura	 waist
cinturão	 belt
cinza	 grey (colour)
cinza	 ash, ashes
cinza	 cremated remains
cinzeiro	 ashtray (receptacle for ashes)
cinzento	 grey (colour)
cinzento	 melancholic
cioso	 conscientious, careful, cautious
cioso	 envious, jealous
cipreste	 cypress.
cipó	 liana
circo	 circus
circuito	 circuit (all senses)
circuito integrado	 integrated circuit
circular	 To circulate
circular	 To circle
circulatório	 circulatory
circulação	 circulation (all senses)
circulação	 dissemination, transmission
circuncidar	 to circumcise
circunciso	 circumcised
circunciso	 circumcised man
circuncisão	 circumcision
circundante	 surrounding
circundante	 circulating
circunflexo	 circumflex; curved, bent
circunscrição	 circumscription
circunspecto	 circumspect
circunspecto	 cautious
circunspecto	 prudent
circunstante	 present; in the vicinity
circunstante	 onlooker
circunstância	 circumstance
circunstância	 condition
circunstância	 situation
circunstância	 case
circunvizinho	 surrounding
cireneu	 Cyrenian (person from Cyrene)
cireneu	 Cyrenian (relating to Cyrene)
cirurgia	 surgery (practice)
cirurgião	 surgeon (doctor who performs surgery)
cirílico	 Cyrillic (a script or alphabet)
cirílico	 Cyrillic
cirúrgico	 surgical (of or relating to surgery)
