100 mètres	 100 metres
caron	 háček (the háček diacritic)
caronade	 carronade
carotte	 carrot
carottier	 wangler
caroube	 carob (fruit)
caroubier	 carob (tree)
carouge	 blackbird (precisely, New World blackbird)
carouge	 Carob pod
carpe	 carp
carpien	 carpal (any of the eight bones of the wrist)
carpophage	 carpophagous
carpophage	 pigeon (any of a number of fruit-eating pigeons)
carquois	 quiver (for arrows)
carraghénane	 carrageenan
carre	 stature
carre	 angle
carreau	 square (as a geometrical shape)
carreau	 tile, (compare with carrelage, meaning tiles or tiling)
carreau	 window-pane
carreau	 bolt (crossbow projectile)
carrefour	 crossroads
carrelage	 tiling, tiles
carreler	 To tile
carreler	 To pave
carrelet	 plaice
carrelet	 fishing cabin
carrelet	 carlet
carreleur	 tiler
carrer	 to square (a number)
carriole	 cart
carrière	 career
carrière	 quarry
carriérisme	 careerism (priority given to one's career)
carriériste	 careerist (person who pursues his or her own career as his or her main aim)
carrossable	 passable (for motor vehicles)
carrosserie	 bodywork, body (''of car'')
carrossier	 coachbuilder
carrossier	 draught horse
carroyer	 to divide into squares
carrure	 shoulders (of person, clothes)
carrure	 calibre
carré	 square
carré	 straightforward
carré	 patch (of land)
carré d'agneau	 rack of lamb
carrément	 in the shape of a square; (of motion etc.) at right angles
cartable	 satchel; school bag
carte	 card
carte	 chart; map
carte	 menu
carte de visite	 A business card, small card with a person’s name and professional information
carte bancaire	 bank card
carte SIM	 a SIM card
carte postale	 postcard
carte routière	 a road map
carte vierge	 blank map, blank card
carte de crédit	 credit card (plastic card, with a magnetic strip)
carte heuristique	 mind map
carte verte	 green card (US work permit)
carte verte	 green card (motor insurance certificate)
carte bleue	 blue card
carthaginois	 Carthaginian
cartilagineux	 cartilaginous, gristly
cartogramme	 cartogram
cartographe	 cartographer
cartographiable	 mappable
cartographie	 cartography
cartographier	 To map or chart
cartographique	 cartographic (of or relating to cartography)
cartographié	 mapped, charted
cartomancie	 cartomancy
cartomancien	 fortune teller (from tarot or playing cards)
carton	 cardboard
carton	 Noun|carton, cardboard box
carton	 target
carton	 card
carton jaune	 yellow card (card in sports)
cartonnerie	 cardboard manufacturing plant
cartonné	 hardback
cartouche	 cartridge
cartouchière	 bandolier, cartridge belt
cartulaire	 cartulary
cartésien	 Cartesian
carénage	 fairing (on an aircraft etc)
caréné	 ducted
carême	 Lent
cas	 case
cas d'école	 A theoretical case used for study of a theory.
cas d'école	 A real-life case that matches the theory perfectly; a textbook case.
cas de figure	 hypothesis, eventuality
casanier	 stay-at-home
casanier	 homebody
casaque	 blouse
casaque	 jersey (of a jockey)
cascade	 A stunt performed for cinematic imitation or entertainment.
cascader	 to cascade
cascadeur	 stuntman, stuntperson (one who performs stunts)
case	 hut, cabin, shack
case	 box (on form)
case	 square (on boardgame)
casemate	 pillbox, blockhouse
caser	 to fit
caserne	 barracks
casernement	 barracks
caserner	 to barrack
casier	 locker (for storage)
casier judiciaire	 criminal record (a record of past crimes)
casoar	 cassowary
casque	 helmet
casque	 headphones
casquer	 To cough up , stump up, fork out or shell out (money)
casquette	 cap,  baseball cap
cassable	 breakable
cassage	 breaking
cassant	 brittle
cassant	 harsh
casse-cou	 deathtrap
casse-cou	 daredevil (a person who risks life)
casse-croûte	 snack|Snack, light meal taken between larger ones.
casse-croûte	 snack|Snack, the food that makes up that meal, usually quite portable
casse-croûte	 snack bar|Snack bar
casse-noisette	 nutcracker
casse-noix	 nutcracker (tool)
casse-noix	 nutcracker (bird)
casse-pied	 annoying
casse-pied	 pain, pain in the ass, pain in the neck
casse-pipe	 A difficult, risky or life-threatening situation.
casse-tête	 brainteaser, puzzle
casser	 to break
casser	 to break up (with somebody)
cassette	 treasure box
cassette	 any small box
casseur	 rioter, hooligan
cassican	 butcherbird (in the genus ''Cracticus'')
cassiopéium	 cassiopeium
cassis	 blackcurrant (''fruit'')
cassonade	 (soft) brown sugar
cassure	 crackNoun|crack, fissureNoun|fissure
cassé	 broken
castagnole	 pomfret
castillan	 Castilian (language)
castillan	 Castilian
castiller	 To argue
castor	 beaver (aquatic mammal)
castrat	 castrato
castrer	 to neuter, to castrate (to remove sex organs from an animal)
castriste	 Castrist
castriste	 Castrist
casuel	 casual
casuellement	 casually
casuiste	 casuist
cataclysme	 cataclysm
cataclysmique	 cataclysmic
catacombe	 catacomb
catadioptre	 reflector, retroreflector
catalan	 Catalan language
catalan	 Catalan, Catalonian
catalanophone	 Catalan-speaking
catalanophone	 Catalan-speaking person
catalectique	 catalectic
cataleptique	 cataleptic
cataloguer	 to catalogue
catalyseur	 catalytic
catalyseur	 catalyst
catalysé	 catalyzed
catalytique	 catalytic
catalytiquement	 catalytically
catanais	 of or from Catania
cataphatique	 cataphatic
cataphote	 reflector (on a bicycle etc)
cataplasme	 cataplasm, poultice
catapulte	 catapult
catapulter	 to catapult
catapulteur	 catapulter
cataracte	 cataract (waterfall)
catarrhe	 catarrh
catarrheux	 catarrhal
catastropher	 To stagger (a person, with an announcement)
catastrophique	 catastrophic
catastrophiquement	 catastrophically
catastrophisme	 doomsaying (having dire predictions)
catch	 wrestling; professional wrestling
catcher	 to wrestle
catharisme	 Catharism: a Christian religious sect of the High Middle Ages.
cathartique	 cathartic
cathodique	 cathodic
cathodique	 adjectival form of tube cathodique (CRT)
catholicisme	 Catholicism 
catholicité	 catholicity
catholique	 Catholic
catholique	 Catholic
cathéchétique	 catechetical
cathédrale	 cathedral
cathéter	 catheter
catigot	 A type of stew, often of eels, from the South of France
catimini	 sly
catogan	 ribbon to attach the hair.
catogan	 ponytail attached by this ribbon.
catéchiser	 To catechise
catéchisme	 catechism
catécholamine	 catecholamine
catéchumène	 catechumen
catégorie	 category
catégoriel	 categorical (relating to categories)
catégorique	 categorical
catégoriquement	 categorically
catégorisation	 categorisation
catégoriser	 To categorize
caténaire	 overhead line
caténation	 catenation (all senses)
caténoïde	 catenoid
cauchemar	 nightmare
cauchemarder	 to have a nightmare
cauchemardesque	 nightmarish (resembling a nightmare)
caucher	 the beating of gold into gold leaf
cauchois	 Cauchois, pertaining to the Caux region of France
cauri	 cowry, money cowry
causalité	 causality (agency of cause)
causatif	 causative
cause	 case (a legal proceeding)
causer	 to cause, to be the cause of
causerie	 chat, talk
causette	 chat, casual conversation
causeur	 talkative
caustique	 caustic (all senses)
caustique	 scathing, biting, pungent
cauteleux	 wily, crafty
caution	 deposit
cautionnement	 guarantee
cautionnement	 security (amount of money deposited)
cautionner	 to support
cavalcader	 To ride with a group
cavalcader	 To run in all directions
cavaler	 to be on the run
cavalerie	 cavalry
cavalier	 rider, horserider, outrider
cavalier	 staple (masculine only)
cavalier	 equestrian
cavalièrement	 offhandedly (in a cavalier manner)
cave	 A cellar or basement.
cave	 =''cave à liqueurs'': A chest for the storage of liquors.
caveau	 sepulchre
caverne	 cavern
caverneux	 cavernous
cavernicole	 cavernicolous
caveçon	 cavesson
caviarder	 To redact
caviste	 cellarman (person in charge of a wine cellar)
cavité	 cavity
caye	 key (small island)
caïd	 caid
caïman	 caiman
cdlt	 cordially
ce	 this, that
ce	 it, this, that
ce que	 what (relative pronoun - direct object)
ce qui	 what (that which; those which; the thing that)
ceci	 this
ceinture	 belt (item of clothing)
ceinture de sécurité	 seatbelt, safety belt
ceinturon	 belt
cela va sans dire	 it goes without saying
celer	 to conceal or hide
celle-ci	 this one
celle-ci	 the latter
celles	 Plural form of '''celleFrench|celle'''; those, those ones
celles-ci	 these ones
celles-ci	 the latter ones.
celles-là	 those ones
celles-là	 The former
cellier	 storeroom (for food, wine etc.)
cellulairement	 cellularly
cellule souche	 stem cell
celluloïd	 celluloid
celte	 Celtic (of the Celts; of the style of the Celts)
celte	 Celtic, (the language of the Celts)
celtique	 Celtic (of the Celts; of the style of the Celts)
celtitude	 The quality, state or characteristic of being Celtic.
celui	 the one
celui-ci	 this one
celui-ci	 the latter
celui-là	 that one
celui-là	 the former
cendre	 ash (of fire, etc.)
cendre volcanique	 volcanic ash
cendreux	 ashen
cendreux	 cindery
cendrier	 ashtray
cendré	 ashen
censeur	 censor
censeur	 headmaster (or deputy head)
censitaire	 census (attributive)
censure	 censorship
censurer	 to formally rebuke; to censure
censurer	 to censor
censé	 supposed to
censément	 supposedly
cent	 hundred
centaine	 hundred, about a hundred, about one hundred.
centaine	 (''in plural'' '''centaines''') hundreds (''in arithmetic'')
centaure	 centaur (mythical half horse, half man)
centauresse	 centauress (female centaur)
centenaire	 centenary (period of 100 years, to mark an anniversary)
centenaire	 centennial (100 year anniversary)
centenaire	 centenarian (someone aged 100 years or more)
centenier	 centurion
centennal	 centennial
centime	 cent (''one-hundredth of a euro''), eurocent
centimètre	 centimetre
centimétrique	 centimetric
centipède	 centipede
centipède	 centipede (A segmented arthropod of class Chilopoda)
centième	 hundredth
centième	 hundredth
centrafricain	 Central African
centrage	 centering (act of putting into the center)
centrale nucléaire	 nuclear powerplant
centralien	 A eq. master degree in engineering offered at Ecole Centrale Paris, the Centralien curriculum.
centralisateur	 centralizer
centraliser	 to centralise
centralisme	 centralism
centralité	 centrality
centraméricain	 Central American
centre	 centre, center
centre commercial	 mall; shopping center, especially one with multiple floors
centre diététique	 health food store
centre-ville	 town centre, city centre
centrer	 to center (put into, move into to center)
centrifuge	 centrifugal
centrifugeuse	 centrifuge
centripète	 centripetal (directed or moving towards a centre)
centrisme	 centrism
centupler	 to centuple, to multiply by one hundred
centurie	 century (Roman army type unit)
cep	 vine
cependant	 meanwhile
cependant	 however
cerbère	 bad-tempered bouncer (door keeper)
cerceau	 hoop (circular-shaped ring)
cercle	 circle
cercle vicieux	 vicious circle
cercle unité	 unit circle (circle of radius 1)
cercler	 To ring, hoop or encircle (with)
cerclé	 encircled
cercueil	 coffin, casket
cerf	 A stag, a hart.
cerf rouge	 red deer, Cervus elaphus
cerf-volant	 stag beetle
cerfeuil	 chervil
cerisaie	 cherry orchard
cerise	 cherry (fruit)
cerise sur le gâteau	the icing on the cake
ceriseraie	 cherry orchard
cerisier	 cherry tree
cerisier à grappes	 bird cherry (''Prunus padus'')
cerne	 dark bluish coloration around the eyes, periorbital dark circle
cerne	 dark circle around a lesion
cerne	 tree ring
certainement	 certainly (with certainty, without doubt)
certains	 some, some people.
certes	 indeed, admittedly, fair enough, certainly, surely, absolutely, decidedly, definitively
certificat	 certificate, certification, credentials
certificat	 diploma
certifier	 to certify (to attest as to)
certifié	 certified
certifié	 notarized
cerveau	 brain
cervelas	 saveloy
cervelet	 cerebellum (part of the hindbrain in vertebrates)
cervidé	 cervid, deer
cervoise	 Ancient beer made during Antiquity and Middle Age with barley or wheat but without hop.
cesser	 To cease; to stop
cesser	 To break up (e.g. a relationship)
cessez-le-feu	 ceasefire
cessible	 transferable
ceste	 cestus (boxing glove)
cet	 this
ceux-ci	 these ones
ceux-ci	 the latter ones
ceux-là	 those ones 
ceux-là	 The former
chabbat	 Jewish Shabbat, biblical seventh day
chabrol	 A mixture of broth and wine
chacal	 jackal
chacal à flancs rayés	 side-striped jackal
chacal à chabraque	 black-backed jackal
chacal doré	 golden jackal
chacun	 each, each one
chacun	 every, everyone
chacun pour soi	every man for himself
chacune	 each, each one.
chacune	 every, every one.
chadda	 shadda (diacritic used in the Arabic script)
chafouin	 sly, cunning
chagrin	 sorrow, grief, chagrin
chagriner	 To bother or worry
chagriner	 To grieve
chagriner	 To upset
chahut	 horseplay, racket, the act of mess around|messing around
chahuteur	 rowdy, raucous (rough and disorderly)
chahuteur	 troublemaker, rowdy
chair	 flesh
chair de poule	 goose pimples
chair à canon	 cannon fodder
chaire	 pulpit
chaire	 rostrum
chaire	 chair (of university)
chaire	 throne (of the pope)
chaise	 chair, seat.
chaise roulante	 wheelchair
chaise pliante	 folding chair
chaise à bascule	 rocking chair (chair with a curved base which can be gently rocked)
chaland	 barge (flat-bottomed bulk carrier mainly for inland waters)
chaland	 a regular client, a returning client
chalandage	 shopping
chalcographie	 chalcography
chalcolithique	 chalcolithic
chaldaïque	 Chaldaic
chaldéen	 Chaldean
chaleur	 heat (temperature)
chaleur	 heat (a state of sexual aggression)
chaleureusement	 passionately, warmly, animatedly
chaleureux	 A warm, emotive person.<ref name="tlfi" />
chaleureux	 A soft, expressive style of literature or art.<ref name="tlfi" />
challenger	 to challenge
challengeur	 challenger (one who challenges)
chalonnais	 Of or from any of several places called Chalon or Chalonnes in Frence
chaloupe	 rowing boat (''UK''), rowboat (''US'')
chalouper	 to sway, to rock (said of dancing or walking)
chalumeau	 blow torch
chalut	 trawl (net); dragnet
cham	 Cham
chamaillerie	 bicker; quarrel
chaman	 shaman
chamanique	 shamanic
chamanisme	 shamanism
chamarré	 bedizened (richly brocaded)
chambard	 bedlam, rumpus, hullabaloo
chambard	 mayhem
chambardement	 upheaval
chambarder	 To turn upside down
chambarder	 To radically reorganize
chambellan	 chamberlain
chambertin	 Chambertin (wine)
chamboulement	 upheaval
chambouler	 to shatter
chambranle	 frame, casing (of door/window)
chambranle	 mantlepiece
chambre	 bedroom
chambre	 chamber
chambre à air	 inner tube
chambre à coucher	 bedroom (room in a house where a bed is kept for sleeping)
chambre de combustion	 combustion chamber (space in a heat engine)
chambre d'ami	 guest room (room in a home set aside for the use of visiting guests)
chambrer	 to bring wine to room temperature
chambrer	 to mock
chambrette	 small bedroom
chambrier	 chamberlain
chambrier	 chambermaid (or similar male servant)
chambrière	 chambermaid
chambrée	 barracks (for soldiers)
chambrée	 dormitory
chambérien	 of or from Chambéry
chameau	 (male) camel
chameau de Bactriane	 Bactrian camel (''Camelus bactrianus'')
chamelier	 camel rider (or soldier mounted on a camel)
chamelle	 (female) camel
chamitique	 Hamitic (relative to the Hamites)
chamoiserie	 a shop selling, or making, chamois products.
chamorro	 Chamorro language
champ magnétique	 magnetic field
champ de vision	 field of view, line of sight
champenois	 of Champagne
champignon	 mushroom
champignon	 fungus in general
champignonner	 To mushroom (grow quickly)
champignonner	 To mushroom (to pick mushrooms)
champion du monde	 world champion
championnat	 championship
championne	 champion
champoreau	 A mixture of coffee and wine (or other alcohol)
champêtre	 pastoral, of or relating to the countryside
chance	 luck
chanceler	 to stagger, totter, reel (of person)
chanceler	 to wobble (of object)
chanceler	 to falter, waver (of resolve etc.)
chancelier	 chancellor
chancelière	 (female) chancellor
chancellerie	 chancellery
chanceux	 with good luck; fortunate
chandail	 sweater, jumper
chandelier	 candlestick
chandelier	 candlemaker
chandelle	 candle
chandelle	 candlelight
chanfrein	 chamfer, bevel
change	 exchange
changea	 ''third-person singular past historic form of changer''
changeait	 ''third-person singular imperfect indicative form of changer''; changed, was changing, used to change
changement	 change
changeons	 ''first-person plural indicative present of changer''
changeur	 changer; money changer
changeur	 changer
chanmé	 excellent, very enjoyable, wicked
chanoinesse	 canoness (female canon)
chanson	 song
chant	 song
chantage	 blackmail
chantaient	 ''third person plural imperfect indicative form of chanter''
chantais	 ''first person singular imperfect indicative form of chanter''
chantais	 ''second person singular imperfect indicative form of chanter''
chantant	 singing (in the act or process of singing)
chante	 ''first person singular present indicative form of chanter''
chante	 ''third person singular present indicative form of chanter''
chantent	 ''third person plural present indicative form of chanter''
chanter	 to sing
chanter	 to crow
chantes	 ''second person singular present indicative form of chanter''
chantes	 ''second person singular present subjunctive form of chanter''
chantes	 ''second person singular imperative form of chanter''
chanteur	 A (male) singer
chanteuse	 A (female) singer.
chantez	 ''second person plural present indicative form of chanter''
chantier	 building site
chantier	 work site
chantier	 passage
chantier	 workcamp (for volunteers)
chantier naval	 dockyard, shipyard
chantiez	 ''second person plural imperfect indicative form of chanter''
chantions	 ''first person plural imperfect indicative form of chanter''
chantonner	 To sing or hum (to oneself)
chanturgue	 A red wine from the Auvergne
chanvre	 hemp
chaotique	 chaotic
chaotiquement	 chaotically
chapardage	 pilfering (petty theft)
chaparder	 To pinch or pilfer
chapardeur	 pilferer (petty thief)
chapardeur	 sticky fingers (habit of pilfering)
chape	 cope, cappa (ceremonial cape)
chape	 tread (of tyre)
chapeau	 hat
chapeau	 (mushroom) cap
chapeau	 Used to express appreciation.
chapeau bas	 hats off
chapeauter	 to hat (put a hat on someone)
chapeauter	 to head (be in control of something)
chapelain	 chaplain
chapelet Thaï	 (set of) anal beads
chapelet	 rosary, beads
chapelier	 hatter (person who makes, sells, or repairs hats)
chapelle	 chapel
chapellerie	 headwear
chapellerie	 hat shop; hat trade
chaperonner	 To chaperone
chaperonner	 To hood
chapiteau	 A circus tent, or any similar set-up used for spectacles or events.
chapitre	 chapter
chapitre	 subject, issue
chapitrer	 to reprimand
chapon	 capon (meat)
chaponner	 to caponize, to castrate (a cockerel)
chapska	 shapka
chaque	 each
chaque	 every
char	 chariot
charabia	 gibberish
charade	 charadeEnglish|charade (kind of riddle)
charade	 Something bizarre or hard to understand.
charançon	 weevil
charbon	 coal
charbon	 anthrax
charbon de bois	 charcoal (substance)
charbonnage	 coal mining
charbonnier	 coalman (or person who sells charcoal)
charbonnier	 coal bunker (place where coal is stored)
charcuter	 to chop or cut badly
charcutier	 A person involved in charcuterie; a butcher.
chardonnay	 Chardonnay (''grape, wine'')
chardonneret	 goldfinch (bird)
charentaise	 carpet slipper
charge	 load, burden
charge	 cargo, freight
charge utile	 payload (all meanings)
charger	 to load (up) (vehicle, animal etc.)
charger	 to load (firearm)
charger	 to charge (battery)
charger	 to put in charge; to charge (somebody with doing something)
charger	 to charge (somebody of a crime)
chargeur	 stoker, fireman
chargeur	 cassette, film-holder
chargeur	 ''(electrical)'' charger
chargé	 busy
charia	 Shari'a
charibotée	 (large) swarm
chariot	 trolley
chariot	 carriage (of a computer printer)
chariot élévateur	 forklift
charismatique	 charismatic
charisme	 charisma
charitablement	 charitably
charité	 charity
charivari	 A racket, banging in general, rumpus
charlatanisme	 charlatanism
charlatanisme	 quackery, fraud, humbug
charlotte	 Charlotte hat, Charlotte bonnet
charmant	 charming
charmantissime	 supercharming
charme	 charm, attractive quality
charme	 enchantment; originally, magical incantation
charmer	 to charm (with magic)
charmer	 to charm
charmeur	 a charmer; something or someone that charms
charmeur	 charming
charmille	 bower, arbor
charmé	 charmed
charnel	 carnal (relating to the physical and especially sexual appetites)
charnier	 mass grave
charnière	 hinge
charnière	 joint (of a bone)
charnière	 turning point (pivotal moment)
charnu	 fleshy, plump
charogne	 carrion
charolais	 pertaining to, or from Charols
charpente	 framework
charpente	 build (of person)
charpenter	 to tailor, to tailor make
charpenterie	 carpentry
charpenterie	 carpenter's workshop
charpentier	 carpenter
charpie	 lint
charretier	 cart, wagon (attributive)
charretier	 carter, wagoner
charrette	 cart
charretée	 cartload
charrier	 to carry, carry along; to transport (a cargo etc.)
charroi	 cartage (transport by cart etc., money paid for such transport)
charron	 wheelwright
charte	 charter
charter	 a charter flight
charter	 a charter plane
charter	 a charter pilot
chartiste	 A person who studies old charters
chartiste	 A Chartist
chartrain	 From Chartres
chartreuse	 a Carthusian monastery, a charterhouse
chartreux	 of or belonging to the Carthusian Order
chas	 eye (of a needle)
chassa	 ''third-person singular past historic form of chasserFrench|chasser''
chasse	 hunt
chasse	 hunting
chasse-neige	 snowplow (machine for moving snow)
chassepot	 A breechloading, rapid-fire, long-range rifle used in the French army from 1866 to 1874.
chasser	 to hunt
chasser	 to chase
chasseresse	 huntress
chasseur	 A hunter
chasseur	 A fighter plane
chasseur	 A servant or attendant
chasseur	 A la façon chasseur, a style of cooking in which meat is cooked with a sauce containing mushrooms, shallots and white wine
chasseur-cueilleur	 hunter-gatherer
chassie	 sleep (in the corner of the eye)
chassieux	 sticky, gummy
chassieux	 bleary, rheumy
chasséen	 Of or from either of two places called Chassey
chastement	 chastely
chasteté	 chastity
chat	 (male) cat, tom, tomcat
chat	 tag, tig (children’s game)
chat bai	 bay cat
chat-huant	 barn owl
chat-tigre	 wildcat; (''often specifically'') margay, oncilla
chatière	 catflap
chatoiement	 shimmer, shimmering
chaton	 kitten, kitty (baby cat)
chaton	 catkin
chaton	 collet, beazle (around a jewel, on a ring)
chatouillement	 tickle, an act of tickling.
chatouiller	 To tickle
chatouilleux	 ticklish
chatouilleux	 touchy ('''sur''' about)
chatoyant	 shimmering, iridescent
chatte	 female cat
chatterie	 titbit, morsel
chatterton	 insulating tape
chatteur	 chatter; specifically someone who engages in Internet chatroom discussions
chaud	 warm, hot
chaud	 heat, warmth
chaud	 hot
chaudement	 hotly
chaudière	 boiler
chaudière	 cauldron (large pot)
chaudron	 cauldron
chaudronnerie	 boilermaking (and similar metalworking trades); the place where such trade is carried out
chauffa	 ''third-person singular past historic form of chaufferFrench|chauffer''
chauffage	 heating
chauffagiste	 heating engineer
chauffant	 heating (attributive)
chauffe-eau	 water heater (appliance for heating water)
chauffer	 To heat, to warm, to warm up
chaufferette	 (small) heater; foot heater, bed warmer
chaufferie	 boiler room or generally any kind of heating system
chauffeur	 driver
chauffeuse	 Female chauffeur
chauffeuse	 fireside chair
chauffoir	 warming room
chauffoir	 stove
chauffoir	 warming pan
chaulage	 liming, whitewashing
chauler	 To whitewash
chaume	 stubble (in fields)
chaume	 thatch (for roof)
chaumière	 thatched cottage
chausse	 straining bag, filter cloth (for wine)
chausse-pied	 shoehorn (tool used to assist the foot)
chausser	 to put footwear on someone
chaussette	 sock
chausseur	 shoemaker
chausson	 slipper (footwear)
chausson	 bootee
chausson	 ballet shoe (''UK''), ballet pump (''US'')
chaussure	 shoe
chaussée	 highway; street
chaussée	 surface (of road)
chaussée	 causeway
chauve	 bare|Bare, barren; devoid of a thing (such as vegetation);<ref name="TLFi" /> ''often construed with'' deFrench|de.
chauve-souris	 bat (small flying mammal)
chauvin	 chauvinistic
chauvin	 chauvinist
chauvinisme	 chauvinism
chauvissant	 balding
chaux	 lime, limestone
chawarma	 shawarma
chayotte	 chayote (plant)
chaîne	 chain
chaîne	 (''TV'') channel
chaîne de caractères	 string (sequence of characters in computing)
chaîne alimentaire	 food chain
chaîne du froid	 cold chain
chaîner	 to chain
chaînette	 (small) chain
chaînon	 link (in a chain)
chaînon manquant	 missing link
chaîné	 chained
checker	 to check, verify
cheddar	 Cheddar cheese
chef	 article, principal point.
chef	 principal motive
chef	 top third of a coat of arms
chef	 A boss, chief
chef	 A culinary chef, chief cook
chef d'État	 chief of state
chef-d'œuvre	 masterpiece
chef-lieu	 An administrative centre in various French-speaking countries
cheftaine	 captain; chieftain
cheik	 sheik
cheikh	 sheikh
cheiroptérophilie	 chiropterophilia
chelou	 shady, creepy
chemin	 path, way
chemin de fer	 railroad|Railroad, railway.
chemin de croix	 Way of the Cross; Via Crucis
chemineau	 migrant worker
chemineau	 vagabond
cheminement	 progress, course
cheminer	 to walk on, to keep walking
cheminot	 A railway worker
cheminée	 a chimney
cheminée	 a fireplace or hearth
cheminée	 a vertical vent, exhaust or gallery
cheminée	 a hole at the center of some models of parachute
cheminée	 the glass tube protecting the flame of a kerosene or similar wick lamp
chemise	 a shirt
chemise de nuit	 nightie
chemiserie	 outfitters' (shop), haberdashery
chemisier	 shirtmaker
chemisier	 blouse
chenal	 canal, channel
chenapan	 rogue, rascal, scoundrel
chenet	 firedog, andiron
chenil	 kennel; kennels
chenille	 caterpillar
chenille	 caterpillar track, snow chain
chenille	 whirligig (fairground attraction)
chenillette	 tankette
chenin	 A white wine from the Loire valley in France
chenu	 hoary, snow-capped
chenu	 grey-hair|haired, grey-headed
cheptel	 livestock
cher	 dearly
chercha	 ''third-person singular past historic form of chercherFrench|chercher''
cherchaient	 ''third person plural imperfect indicative form of chercher''
cherchais	 ''first person singular imperfect indicative form of chercher''
cherchais	 ''second person singular imperfect indicative form of chercher''
cherchait	 ''third-person singular imperfect indicative form of chercher''
cherche	 ''first person singular present indicative form of chercher''
cherche	 ''third person singular present indicative form of chercher''
cherchent	 ''third person plural present indicative form of chercher''
cherches	 ''second person singular present indicative form of chercher''
chercheur	 searcher (one who searches)
chercheur	 researcher
cherchez	 ''second-person plural indicative present of chercher''
cherchiez	 ''second person plural imperfect indicative form of chercher''
cherchions	 ''first person plural imperfect indicative form of chercher''
cherchons	 ''first person plural present indicative form of chercher''
cherokee	 Cherokee
cherokee	 Cherokee (language)
cherté	 expensiveness, high cost
chevaine	 chub (''Leuciscus cephalus'')
cheval	 horse
cheval	 horsepower
cheval qui boit dans son blanc	 horse that has a white nose and the rest of its body another colour
cheval de Troie	 Trojan horse (a wooden horse used by the Greeks)
cheval de bataille	 war-horse, battle-charger
cheval à bascule	 rocking horse (a child’s toy consisting of a (usually wooden) horse mounted on a rocker or swing)
cheval de trait	 draft horse
cheval de Przewalski	 Przewalski's horse
cheval de main	 led horse
cheval-vapeur	 horsepower
chevaleresquement	 chivalrously
chevalet	 (torture) rack
chevalet	 trestle, support
chevalet	 bridge (of guitar, violin etc.)
chevalier	 knight
chevalière	 signet ring
chevauchement	 overlap
chevaucher	 to straddle, be astride
chevaucher	 to span, sit/be across
chevauchée	 ride (on horseback)
chevaux de Przewalski	 plural of '''cheval de Przewalski'''
chevelu	 hairy, long-haired
chevelure	 hair
chevelure	 tail (of a comet)
chevesne	 chub (''Leuciscus cephalus'')
chevet	 bedside
cheveu	 a hair
cheville	 ankle
cheville	 dowel, peg
cheville	 wall plug
cheville ouvrière	 linchpin (central cohesive source of stability and security)
chevillette	 A latch hidden in a door with the tab sticking through a slot.
chevillette	 An unidentified part of the locking mechanism of w:Little Red Riding Hood|Little Red Riding Hood's grandmother's door.
chevillé	 pinned, pegged (attached by a pin, peg)
chevreau	 kid (young goat)
chevreau	 goatskin
chevrette	 kid (young goat)
chevrette	 doe
chevreuil	 roe deer, roebuck
chevrier	 goatherd
chevronné	 experienced, seasoned
chevrotant	 quavering, shaking
chevroter	 To bleat
chevrotine	 buckshot
chevêche	 little owl
chewing-gum	 chewing gum
cheyenne	 Cheyenne language
cheyenne	 Cheyenne
chez	 to the house of
chez	 at the house of
chez	 among (a group of things or people of the same type)
chez soi	 at home (at one's abode)
chez soi	 at home (comfortable)
chez-soi	 home, nest
chia	 ''third-person singular past historic form of '''chierFrench|chier'''''
chiac	 A dialect consisting of French mixed with English, spoken by Acadian|Acadians in New Brunswick.
chiadé	 thorough (made with special care)
chianti	 Chianti (wine)
chibouque	 chibouk (turkish tobacco pipe)
chic	 elegant
chic	 elegance
chicane	 bickering|Bickering, quibbling, especially as delay tactic.
chicaneur	 quibbler, pettifogger
chicaneur	 quibbling, pettifogging
chicaya	 squabble
chich taouk	 shish taouk, grilled skewered chicken cubes
chichement	 meanly, sparingly, niggardly
chichi	 affected manners, demanding behaviour
chichi	 something showy
chichi	 sort of fritter, churro
chichiteux	 chichi
chicot	 stump, stub
chien	 dog
chien	 cock, hammer (of a firearm)
chien de garde	 A guard dog.
chien de chasse	 A hound, canine breed used for hunting
chien d'eau	 water dog
chien d'eau portugais	 Portuguese Water Dog
chien de prairie	 prairie dog (burrowing rodent)
chiendent	 couch grass, quackgrass
chienlit	 masquerade, carnival
chienlit	 havoc, chaos
chiffe	 rag
chiffe	 drip (person of weak character)
chiffon	 rag
chiffon	 scrap (of paper)
chiffonner	 to crumple, crease
chiffonnier	 chiffonier (item of furniture)
chiffrable	 quantifiable
chiffrable	 computable
chiffrage	 numbering
chiffrage	 ciphering
chiffre	 a digit i.e. 0,1,2,3,4,5,6,7,8,9
chiffre	 monogram
chiffre romain	 Roman numeral (a numeral represented by letters)
chiffrement	 encryption (process of obscuring information to make it unreadable without special knowledge, key files, and/or passwords)
chiffres	 digits
chiffres	 amounts
chiffreur	 cipherer
chignole	 brace (bitstock)
chignon	 roll or twist of hair worn at the nape of the neck; a bun
chiisme	 Shi'a (branch of Islam)
chiite	 Shiite
chiite	 Shiite
chiliarque	 chiliarch
chilien	 Chilean
chimie	 chemistry (the science)
chimie organique	 organic chemistry (chemistry of carbon containing compounds)
chimiothérapeutique	 chemotherapeutic
chimiothérapie	 chemotherapy
chimiotoxicité	 chemotoxicity
